110	117	Кирилла	Кирилл	PER	PER-Kirill-The-Patriarch-of-Moscow-and-all-Ru
2596	2603	Аризоны	Аризона	LOC	GPE-Arizona
2609	2622	республиканцы	республиканец	ORG	ORG-Republican-Party-USA
2667	2685	The New York Times	The New York Times	ORG	ORG-The-New-York-Times
2742	2749	Байдену	Байден	PER	PER-Joe-Biden
2770	2783	Камалу Харрис	Камала Харрис	PER	PER-Kamala-Harris
2822	2825	США	США	LOC	GPE-USA
2861	2867	Байден	Байден	PER	PER-Joe-Biden
2878	2885	Аризоне	Аризона	LOC	GPE-Arizona
2919	2932	республиканец	республиканец	ORG	ORG-Republican-Party-USA
2933	2946	Дональд Трамп	Дональд Трамп	PER	PER-Donald-Trump
3008	3014	Трампа	Трамп	PER	PER-Donald-Trump
3032	3039	Аризоны	Аризона	LOC	GPE-Arizona
3121	3134	республиканцы	республиканцы 	ORG	ORG-Republican-Party-USA
3301	3311	Висконсина	Висконсин	LOC	GPE-Wisconsin
3330	3335	Трамп	Трамп	PER	PER-Donald-Trump
3395	3404	демократа	демократ	ORG	ORG-Democratic-Party-USA
3499	3505	Байден	Байден	PER	PER-Joe-Biden
3509	3515	Трампа	Трамп	PER	PER-Donald-Trump
3566	3590	Верховный суд Висконсина	Верховный суд Висконсина	ORG	ORG-Supreme-Court-of-Wisconsin
3644	3647	США	США	LOC	GPE-USA
3753	3765	Пенсильвания	Пенсильвания	LOC	GPE-Pennsylvania
3782	3789	Байдена	Байден	PER	PER-Joe-Biden
3800	3812	Пенсильвании	Пенсильвания	LOC	GPE-Pennsylvania
3822	3831	демократу	демократ	ORG	ORG-Democratic-Party-USA
3886	3889	США	США	LOC	GPE-USA
3913	3928	Джозефу Байдену	Джозеф Байден	PER	PER-Joe-Biden
3967	3970	США	США	LOC	GPE-USA
3994	4007	Камале Харрис	Камала Харрис	PER	PER-Kamala-Harris
4060	4071	Нэнси Миллз	Нэнси Миллз	PER	PER-Nancy-Mills
4094	4107	республиканец	республиканец	ORG	ORG-Republican-Party-USA
4108	4121	Дональд Трамп	Дональд Трамп	PER	PER-Donald-Trump
4243	4261	Верховном суде США	Верховный суд США	ORG	ORG-Supreme-Court-of-the-United-States
4291	4303	Пенсильвания	Пенсильвания	LOC	GPE-Pennsylvania
4305	4313	Джорджия	Джорджия	LOC	GPE-Georgia-US-state
4315	4322	Мичиган	Мичиган	LOC	GPE-Michigan
4325	4334	Висконсин	Висконсин	LOC	GPE-Wisconsin
4377	4384	Трампом	Трамп	PER	PER-Donald-Trump
4387	4395	Байденом	Байден	PER	PER-Joe-Biden
4526	4532	Техаса	Техас	LOC	GPE-Texas
4728	4735	Байдена	Байден	PER	PER-Joe-Biden
4763	4771	Нью-Йорк	Нью-Йорк	LOC	GPE-New-York
4795	4802	Байдена	Байден	PER	PER-Joe-Biden
4813	4816	СNN	СNN	ORG	ORG-CNN
4967	4973	Олбани	Олбани	LOC	GPE-Albany
5035	5038	США	США	LOC	GPE-USA
5039	5051	Билл Клинтон	Билл Клинтон	PER	PER-Bill-Clinton
5074	5089	Хиллари Клинтон	Хиллари Клинтон	PER	PER-Hillary-Clinton
5117	5125	Нью-Йорк	Нью-Йорк	LOC	GPE-New-York
5144	5166	Демократической партии	Демократическая партия	ORG	ORG-Democratic-Party-USA
5232	5242	демократов	демократ	ORG	ORG-Democratic-Party-USA
5269	5296	Коллегия выборщиков Флориды	Коллегия выборщиков Флориды	ORG	ORG-The-Electoral-College-of-Florida
5308	5314	Трампа	Трамп	PER	PER-Donald-Trump
5357	5376	The Florida Channel	The Florida Channel	ORG	ORG-Electoral-College-Florida
5418	5425	Флориды	Флорида	LOC	GPE-Florida
5426	5438	Рон Десантис	Рон Десантис 	PER	PER-Ron-Desantis
5440	5453	республиканец	республиканец	ORG	ORG-Republican-Party-USA
5596	5604	Мичигане	Мичиган 	LOC	GPE-Michigan
5623	5628	Трамп	Трамп	PER	PER-Donald-Trump
5669	5676	Байдена	Байден	PER	PER-Joe-Biden
5698	5710	270towin.com	270towin.com	PRO	PRO-270towin.com
5792	5807	Джозефа Байдена	Джозеф Байден	PER	PER-Joe-Biden
5823	5829	Трампа	Трамп	PER	PER-Donald-Trump
