0	30	Frankfurter Allgemeine Zeitung	Frankfurter Allgemeine Zeitung	PRO	PRO-Frankfurter-Allgemeine-Zeitung
5059	5079	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
5211	5221	Вашингтона	Вашингтон	LOC	GPE-WashingtonDC
5308	5322	Северный поток	Северный поток	PRO	PRO-Nord-Stream-2
5466	5469	США	США	LOC	GPE-USA
5573	5580	Америка	Америка	LOC	GPE-USA
5683	5689	Европы	Европа	LOC	LOC-Europe
5706	5714	Германии	Германия	LOC	GPE-Germany
5722	5739	Соединенные Штаты	Соединенные Штаты	LOC	GPE-USA
6231	6251	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
6435	6442	Америки	Америка	LOC	GPE-USA
6668	6688	Северным потоком — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
7020	7023	ООН	ООН	ORG	ORG-United-Nations
7071	7096	Генеральной Ассамблеи ООН	Генеральная Ассамблея ООН	ORG	ORG-United-Nations-General-Assembly
7335	7342	Россией	Россия	LOC	GPE-Russia
7343	7348	Крыма	Крым	LOC	GPE-Crimea
7368	7375	Украины	Украина	LOC	GPE-Ukraine
7391	7397	Россия	Россия	LOC	GPE-Russia
7417	7423	Россия	Россия	LOC	GPE-Russia
7595	7601	Россия	Россия	LOC	GPE-Russia
7874	7881	Украине	Украина	LOC	GPE-Ukraine
8337	8342	Крыма	Крым	LOC	GPE-Crimea
8380	8387	Украины	Украина	LOC	GPE-Ukraine
8388	8394	Россия	Россия	LOC	GPE-Russia
8456	8459	ООН	ООН	ORG	ORG-United-Nations
8514	8521	Украины	Украина	LOC	GPE-Ukraine
8666	8670	ОБСЕ	ОБСЕ	ORG	ORG-Organization-for-Security-and-Co-operation-in-Europe
8733	8739	Россия	Россия	LOC	GPE-Russia
8896	8916	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
8995	9025	Комиссией международного права	Комиссия международного права	ORG	ORG-International-Law-Commission
9606	9625	Северном потоке — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
9706	9713	Россией	Россия	LOC	GPE-Russia
9846	9851	Крыма	Крым	LOC	GPE-Crimea
9894	9901	Украины	Украина	LOC	GPE-Ukraine
9947	9954	Украине	Украина	LOC	GPE-Ukraine
10074	10081	Россией	Россия	LOC	GPE-Russia
10096	10116	Северным потоком — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
10316	10323	Украины	Украина	LOC	GPE-Ukraine
10462	10465	США	США	LOC	GPE-USA
10624	10654	Комиссией международного права	Комиссия международного права	ORG	ORG-International-Law-Commission
10875	10895	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
10950	10956	Россию	Россия	LOC	GPE-Russia
10999	11004	Крыму	Крым	LOC	GPE-Crimea
11018	11025	Украины	Украина	LOC	GPE-Ukraine
11150	11156	России	Россия	LOC	GPE-Russia
11175	11247	Закон о противодействии российскому влиянию в Европе и Евразии 2017 года	Закон о противодействии российскому влиянию в Европе и Евразии 2017 года	PRO	PRO-Countering-Russian-Influence-in-Europe-and-Eurasia-Act-of-2017
11251	11313	Countering Russian Influence in Europe and Eurasia Act of 2017	Countering Russian Influence in Europe and Eurasia Act of 2017	PRO	PRO-Countering-Russian-Influence-in-Europe-and-Eurasia-Act-of-2017
11355	11361	Россию	Россия	LOC	GPE-Russia
11370	11374	Крым	Крым	LOC	GPE-Crimea
11375	11382	Украине	Украина	LOC	GPE-Ukraine
11414	11421	Украины	Украина	LOC	GPE-Ukraine
11441	11448	Украине	Украина	LOC	GPE-Ukraine
11601	11607	России	Россия	LOC	GPE-Russia
11611	11617	Европу	Европа	LOC	LOC-Europe
11619	11625	Кавказ	Кавказ	LOC	LOC-Caucasus
11628	11642	Ближний Восток	Ближний Восток	LOC	LOC-Near-East
11716	11727	Containment	Containment	PRO	PRO-Containment
11730	11743	Джордж Кеннан	Джордж Кеннан	PER	PER-George-Kennan
11745	11761	George F. Kennan	George F. Kennan	PER	PER-George-Kennan
11826	11830	СССР	СССР	LOC	GPE-USSR
11885	11891	России	Россия	LOC	GPE-Russia
11919	11925	Путина	Путин	PER	PER-Vladimir-Putin
11957	11977	Северного потока — 2	Северный поток — 2	PRO	PRO-Nord-Stream-2
12136	12138	ЕС	ЕС	ORG	ORG-European-Union
12186	12193	Украины	Украина	LOC	GPE-Ukraine
12305	12321	Отто Лухтерхандт	Отто Лухтерхандт	PER	PER-Otto-Luchterhandt
