12	19	Webcafe	Webcafe	PRO	PRO-Webcafe.bg
5155	5169	Владимир Путин	Владимир Путин	PER	PER-Vladimir-Putin
5212	5217	Тръмп	Тръмп	PER	PER-Donald-Trump
5313	5324	демократите	демократи	PER	ORG-Democratic-Party-USA
5337	5342	Тръмп	Тръмп	PER	PER-Donald-Trump
5384	5389	Русия	Русия	LOC	GPE-Russia
5437	5441	НАТО	НАТО	ORG	ORG-NATO
5675	5681	Байдън	Байдън	PER	PER-Joe-Biden
5745	5750	Тръмп	Тръмп	PER	PER-Donald-Trump
6185	6190	Тръмп	Тръмп	PER	PER-Donald-Trump
6317	6322	Обама	Обама	PER	PER-Barack-Obama
6508	6513	Тръмп	Тръмп	PER	PER-Donald-Trump
6537	6542	Тръмп	Тръмп	PER	PER-Donald-Trump
6562	6568	Байдън	Байдън	PER	PER-Joe-Biden
6694	6701	Америка	Америка	LOC	GPE-USA
6931	6937	Байдън	Байдън	PER	PER-Joe-Biden
6940	6945	Тръмп	Тръмп	PER	PER-Donald-Trump
7269	7276	Америка	Америка	LOC	GPE-USA
7279	7284	Тръмп	Тръмп	PER	PER-Donald-Trump
7365	7381	Ейбрахам Линкълн	Ейбрахам Линкълн	PER	PER-Abraham-Lincoln
7496	7502	Байдън	Байдън	PER	PER-Joe-Biden
7532	7548	Ейбрахам Линкълн	Ейбрахам Линкълн	PER	PER-Abraham-Lincoln
7659	7665	Байдън	Байдън	PER	PER-Joe-Biden
7731	7745	републиканците	републиканци	PER	ORG-Republican-Party-USA
7838	7848	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
7908	7911	САЩ	САЩ	LOC	GPE-USA
7949	7954	Тръмп	Тръмп	PER	PER-Donald-Trump
8003	8009	Тексас	Тексас	LOC	GPE-Texas
8032	8043	Пенсилвания	Пенсилвания	LOC	GPE-Pennsylvania
8045	8053	Оклахома	Оклахома	LOC	GPE-Oklahoma
8055	8060	Охайо	Охайо	LOC	GPE-Ohio
8070	8084	републиканецът	републиканец	PER	ORG-Republican-Party-USA
8213	8219	Байдън	Байдън	PER	PER-Joe-Biden
8560	8572	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
8627	8637	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
