26	32	Cookie	Cookie	PRO	PRO-Cookie
5223	5235	коронавируса	коронавирус	EVT	EVT-Covid-19
5413	5425	коронавируса	коронавирус	EVT	EVT-Covid-19
5494	5496	ЕС	ЕС	ORG	ORG-European-Union
5671	5677	Европа	Европа	LOC	LOC-Europe
5703	5715	коронавируса	коронавирус	EVT	EVT-Covid-19
5718	5724	Европу	Европа	LOC	LOC-Europe
5750	5762	коронавируса	коронавирус	EVT	EVT-Covid-19
5812	5836	коронавирусной инфекцией	коронавирусная инфекция	EVT	EVT-Covid-19
5889	5895	Европы	Европа	LOC	LOC-Europe
5980	5988	COVID-19	COVID-19	EVT	EVT-Covid-19
6088	6100	коронавируса	коронавирус	EVT	EVT-Covid-19
6156	6162	Европа	Европа	LOC	LOC-Europe
6188	6200	коронавируса	коронавирус	EVT	EVT-Covid-19
6203	6211	Германия	Германия	LOC	GPE-Germany
6248	6256	Германии	Германия	LOC	GPE-Germany
6339	6349	SARS-CoV-2	SARS-CoV-2	EVT	EVT-Covid-19
6451	6465	Ангела Меркель	Ангела Меркель	PER	PER-Angela-Merkel
6618	6624	Европа	Европа	LOC	LOC-Europe
6650	6662	коронавируса	коронавирус	EVT	EVT-Covid-19
6665	6673	Германия	Германия	LOC	GPE-Germany
6769	6777	Германии	Германия	LOC	GPE-Germany
7039	7045	Европа	Европа	LOC	LOC-Europe
7071	7083	коронавируса	коронавирус	EVT	EVT-Covid-19
7191	7199	Германии	Германия	LOC	GPE-Germany
7243	7251	немецких	немецкий	PER	GPE-Germany
7457	7463	Европа	Европа	LOC	LOC-Europe
7489	7501	коронавируса	коронавирус	EVT	EVT-Covid-19
7504	7510	Россия	Россия	LOC	GPE-Russia
7601	7614	коронавирусом	коронавирус	EVT	EVT-Covid-19
7617	7619	РФ	РФ	LOC	GPE-Russia
7725	7733	COVID-19	COVID-19	EVT	EVT-Covid-19
7965	7971	Европа	Европа	LOC	LOC-Europe
7997	8009	коронавируса	коронавирус	EVT	EVT-Covid-19
8014	8020	Москве	Москва	LOC	GPE-Moscow
8059	8061	РФ	РФ	LOC	GPE-Russia
8105	8115	SARS-CoV-2	SARS-CoV-2	EVT	EVT-Covid-19
8127	8129	РФ	РФ	LOC	GPE-Russia
8233	8239	Москве	Москва	LOC	GPE-Moscow
8466	8472	Европа	Европа	LOC	LOC-Europe
8498	8510	коронавируса	коронавирус	EVT	EVT-Covid-19
8513	8521	Беларусь	Беларусь	LOC	GPE-Belarus
8591	8601	SARS-CoV-2	SARS-CoV-2	EVT	EVT-Covid-19
8604	8612	Беларуси	Беларусь	LOC	GPE-Belarus
8676	8685	Лукашенко	Лукашенко	PER	PER-Alexander-Lukashenko
8753	8761	COVID-19	COVID-19	EVT	EVT-Covid-19
8973	8979	Европа	Европа	LOC	LOC-Europe
9005	9017	коронавируса	коронавирус	EVT	EVT-Covid-19
9020	9027	Украина	Украина	LOC	GPE-Ukraine
9134	9147	коронавирусом	коронавирус	EVT	EVT-Covid-19
9150	9157	Украине	Украина	LOC	GPE-Ukraine
9509	9515	Европа	Европа	LOC	LOC-Europe
9541	9553	коронавируса	коронавирус	EVT	EVT-Covid-19
9556	9563	Австрия	Австрия	LOC	GPE-Austria
9607	9620	коронавирусом	коронавирус	EVT	EVT-Covid-19
9621	9632	австрийские	австрийский	PER	GPE-Austria
9986	9992	Европа	Европа	LOC	LOC-Europe
10018	10030	коронавируса	коронавирус	EVT	EVT-Covid-19
10033	10040	Франция	Франция	LOC	GPE-France
10050	10058	COVID-19	COVID-19	EVT	EVT-Covid-19
10083	10091	Германию	Германия	LOC	GPE-Germany
10094	10101	Франция	Франция	LOC	GPE-France
10164	10176	коронавируса	коронавирус	EVT	EVT-Covid-19
10317	10320	ФРГ	ФРГ	LOC	GPE-Germany
10501	10507	Европа	Европа	LOC	LOC-Europe
10533	10545	коронавируса	коронавирус	EVT	EVT-Covid-19
10548	10554	Швеция	Швеция	LOC	GPE-Sweden
10556	10567	коронавирус	коронавирус	EVT	EVT-Covid-19
10672	10685	коронавирусом	коронавирус	EVT	EVT-Covid-19
10740	10746	Швеции	Швеция	LOC	GPE-Sweden
10826	10834	COVID-19	COVID-19	EVT	EVT-Covid-19
10855	10864	Минздрава	Минздрав	ORG	ORG-Ministry-of-Health-and-Social-Affairs-Sweden
10872	10878	Европа	Европа	LOC	LOC-Europe
10904	10916	коронавируса	коронавирус	EVT	EVT-Covid-19
10919	10925	Италия	Италия	LOC	GPE-Italy
10974	10980	Италия	Италия	LOC	GPE-Italy
11030	11042	коронавируса	коронавирус	EVT	EVT-Covid-19
11155	11161	Италии	Италия	LOC	GPE-Italy
11377	11383	Европа	Европа	LOC	LOC-Europe
11409	11421	коронавируса	коронавирус	EVT	EVT-Covid-19
11424	11429	Дания	Дания	LOC	GPE-Denmark
11440	11452	коронавируса	коронавирус	EVT	EVT-Covid-19
11474	11479	Дании	Дания	LOC	GPE-Denmark
11582	11593	коронавирус	коронавирус	EVT	EVT-Covid-19
11594	11604	SARS-CoV-2	SARS-CoV-2	EVT	EVT-Covid-19
11843	11849	Европа	Европа	LOC	LOC-Europe
11875	11887	коронавируса	коронавирус	EVT	EVT-Covid-19
11923	11935	коронавируса	коронавирус	EVT	EVT-Covid-19
11977	11985	Немецкая	Немецкий	PER	GPE-Germany
12012	12020	BioNTech	BioNTech	ORG	ORG-BioNTech
12023	12035	американская	американский	PER	GPE-USA
12047	12053	Pfizer	Pfizer	ORG	ORG-Pfizer
12206	12218	американская	американский	PER	GPE-USA
12225	12232	Moderna	Moderna	ORG	ORG-Moderna
12265	12268	США	США	LOC	GPE-USA
