0	31	Българското европредседателство	Българско европредседателство	EVT	EVT-Bulgarian-Presidency-EU
2818	2825	Брюксел	Брюксел	LOC	GPE-Brussles
2828	2834	Лондон	Лондон	LOC	GPE-London
2872	2886	Великобритания	Великобритания	LOC	GPE-Great-Britain
2973	2975	ЕС	ЕС	ORG	ORG-European-Union
3084	3090	Лондон	Лондон	LOC	GPE-London
3123	3130	Брюксел	Брюксел	LOC	GPE-Brussles
3216	3222	Лондон	Лондон	LOC	GPE-London
3418	3424	Лондон	Лондон	LOC	GPE-London
3514	3528	Великобритания	Великобритания	LOC	GPE-Great-Britain
3555	3564	Евросъюза	Евросъюз	ORG	ORG-European-Union
3581	3591	британците	британци	PER	GPE-Great-Britain
3643	3645	ЕС	ЕС	ORG	ORG-European-Union
3699	3709	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
3738	3752	Великобритания	Великобритания	LOC	GPE-Great-Britain
3800	3802	ЕС	ЕС	ORG	ORG-European-Union
3813	3815	ЕС	ЕС	ORG	ORG-European-Union
3868	3882	Великобритания	Великобритания	LOC	GPE-Great-Britain
3922	3929	Брекзит	Брекзит	EVT	EVT-Brexit
4104	4118	Великобритания	Великобритания	LOC	GPE-Great-Britain
4122	4124	ЕС	ЕС	ORG	ORG-European-Union
4362	4364	ЕС	ЕС	ORG	ORG-European-Union
4459	4465	Лондон	Лондон	LOC	GPE-London
4467	4481	Великобритания	Великобритания	LOC	GPE-Great-Britain
4547	4560	Ангела Меркел	Ангела Меркел	PER	PER-Angela-Merkel
4562	4568	Лондон	Лондон	LOC	GPE-London
4642	4649	Брекзит	Брекзит	EVT	EVT-Brexit
4779	4785	Меркел	Меркел	PER	PER-Angela-Merkel
4851	4857	Лондон	Лондон	LOC	GPE-London
4899	4905	Лондон	Лондон	LOC	GPE-London
4950	4957	Брекзит	Брекзит	EVT	EVT-Brexit
4958	4971	Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
4982	4984	ЕС	ЕС	ORG	ORG-European-Union
5140	5142	ЕС	ЕС	ORG	ORG-European-Union
5335	5338	Мей	Мей	PER	PER-Theresa-May
5543	5545	ЕС	ЕС	ORG	ORG-European-Union
5622	5624	ЕС	ЕС	ORG	ORG-European-Union
5625	5638	Ангела Меркел	Ангела Меркел	PER	PER-Angela-Merkel
5688	5699	Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
5796	5810	Жан-Клод Юнкер	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
